Date,Clicks,Impressions,CTR,Position
2025-02-17,0,60,0%,39.3
2025-02-18,0,58,0%,42.6
2025-02-19,0,54,0%,39.4
2025-02-20,0,61,0%,47.9
2025-02-21,0,54,0%,46.5
2025-02-22,0,66,0%,47.3
2025-02-23,0,59,0%,39.3
2025-02-24,0,43,0%,33.4
2025-02-25,0,44,0%,35.9
2025-02-26,0,40,0%,31.6
2025-02-27,0,101,0%,44.7
2025-02-28,0,40,0%,29.6
2025-03-01,0,47,0%,37.6
2025-03-02,0,46,0%,31.4
2025-03-03,0,73,0%,43.9
2025-03-04,0,65,0%,44.1
2025-03-05,0,59,0%,43.4
2025-03-06,0,55,0%,49.3
2025-03-07,0,46,0%,44.9
2025-03-08,0,46,0%,45.8
2025-03-09,0,54,0%,46.7
2025-03-10,0,53,0%,51.5
2025-03-11,0,55,0%,53.5
2025-03-12,0,52,0%,50
2025-03-13,0,46,0%,47.8
2025-03-14,0,54,0%,50.7
2025-03-15,0,45,0%,37.8
2025-03-16,0,45,0%,28.6
2025-03-17,0,43,0%,32.4
2025-03-18,0,215,0%,39.7
2025-03-19,0,40,0%,41.9
2025-03-20,0,37,0%,36.4
2025-03-21,0,34,0%,36.9
2025-03-22,0,35,0%,35.4
2025-03-23,0,37,0%,32.9
2025-03-24,0,41,0%,31.6
2025-03-25,0,38,0%,28.4
2025-03-26,0,34,0%,35.1
2025-03-27,0,37,0%,34.1
2025-03-28,0,48,0%,40
2025-03-29,0,83,0%,50.3
2025-03-30,0,133,0%,47.6
2025-03-31,0,102,0%,47.5
2025-04-01,0,132,0%,52.6
2025-04-02,0,101,0%,54
2025-04-03,0,97,0%,56.9
2025-04-04,0,53,0%,47.7
2025-04-05,0,52,0%,41.6
2025-04-06,0,57,0%,37.6
2025-04-07,0,46,0%,33.5
2025-04-08,0,50,0%,41.5
2025-04-09,0,45,0%,38.5
2025-04-10,0,50,0%,42.4
2025-04-11,0,54,0%,39.8
2025-04-12,0,52,0%,37.7
2025-04-13,0,49,0%,40.8
2025-04-14,0,56,0%,43.3
2025-04-15,0,48,0%,35.7
