Date,Clicks,Impressions,CTR,Position
2025-04-16,0,43,0%,34
2025-04-17,0,19,0%,38.6
2025-04-18,0,15,0%,32.9
2025-04-19,0,26,0%,33.9
2025-04-20,0,14,0%,32.1
2025-04-21,0,16,0%,34
2025-04-22,0,15,0%,39.4
2025-04-23,0,52,0%,36.6
2025-04-24,0,49,0%,39.2
2025-04-25,0,46,0%,39.3
2025-04-26,0,66,0%,40
2025-04-27,0,45,0%,36
2025-04-28,0,46,0%,36
2025-04-29,0,63,0%,34.3
2025-04-30,0,66,0%,32.6
2025-05-01,0,52,0%,34.1
2025-05-02,0,53,0%,34.5
2025-05-03,0,71,0%,35.7
2025-05-04,0,55,0%,29.8
2025-05-05,1,57,1.75%,31.9
2025-05-06,0,57,0%,30.2
2025-05-07,0,56,0%,31.5
2025-05-08,0,54,0%,30.7
2025-05-09,0,46,0%,33.1
2025-05-10,0,67,0%,34.9
2025-05-11,0,53,0%,33.5
2025-05-12,0,61,0%,35.8
2025-05-13,0,61,0%,31.3
2025-05-14,0,55,0%,33.8
2025-05-15,0,55,0%,29.1
2025-05-16,0,55,0%,35.3
2025-05-17,0,61,0%,32.6
2025-05-18,0,57,0%,35.3
2025-05-19,0,53,0%,30
2025-05-20,0,53,0%,32.8
2025-05-21,0,61,0%,34.8
2025-05-22,0,58,0%,41.9
2025-05-23,0,74,0%,37.8
2025-05-24,0,66,0%,33.4
2025-05-25,0,50,0%,31.8
2025-05-26,0,58,0%,30.9
2025-05-27,0,59,0%,34.2
2025-05-28,1,62,1.61%,35
2025-05-29,0,54,0%,33.8
2025-05-30,0,80,0%,35.4
2025-05-31,0,77,0%,35.1
2025-06-01,0,59,0%,38.1
2025-06-02,0,52,0%,32.7
2025-06-03,0,61,0%,30.9
2025-06-04,0,58,0%,29.7
2025-06-05,0,61,0%,31.3
2025-06-06,0,80,0%,35.6
2025-06-07,0,90,0%,35.4
2025-06-08,0,59,0%,27.2
2025-06-09,0,58,0%,26.8
2025-06-10,0,58,0%,27.3
2025-06-11,0,64,0%,28.6
2025-06-12,0,56,0%,25.3
2025-06-13,0,51,0%,26.1
2025-06-14,0,65,0%,27.6
2025-06-15,0,60,0%,24.9
2025-06-16,0,63,0%,26.1
2025-06-17,0,50,0%,25.3
2025-06-18,0,62,0%,27.6
2025-06-19,0,56,0%,26.1
2025-06-20,0,63,0%,28.4
2025-06-21,0,90,0%,29.2
2025-06-22,0,76,0%,28.7
2025-06-23,0,62,0%,29
2025-06-24,0,82,0%,28.1
2025-06-25,0,76,0%,28.7
2025-06-26,0,67,0%,26.9
2025-06-27,0,57,0%,25.2
2025-06-28,0,84,0%,29.7
2025-06-29,0,90,0%,35.1
2025-06-30,0,143,0%,38.2
2025-07-01,0,117,0%,41
2025-07-02,0,90,0%,35
2025-07-03,0,75,0%,32.9
2025-07-04,0,96,0%,30.1
2025-07-05,0,128,0%,43
2025-07-06,0,116,0%,35.7
2025-07-07,0,136,0%,30.8
2025-07-08,0,135,0%,30.3
2025-07-09,0,136,0%,29.6
2025-07-10,0,141,0%,29.1
2025-07-11,0,131,0%,27.5
2025-07-12,1,171,0.58%,18
2025-07-13,0,135,0%,19.3
2025-07-14,0,123,0%,19.5
2025-07-15,0,141,0%,20.6
2025-07-16,0,135,0%,25.7
2025-07-17,0,139,0%,33.1
2025-07-18,0,257,0%,26.4
2025-07-19,0,280,0%,26.7
2025-07-20,0,244,0%,28.1
2025-07-21,0,150,0%,31.6
2025-07-22,0,137,0%,32.5
2025-07-23,0,140,0%,34.6
2025-07-24,0,143,0%,37.1
2025-07-25,0,127,0%,31.4
2025-07-26,0,148,0%,31.5
2025-07-27,0,116,0%,27.2
2025-07-28,0,127,0%,27.3
2025-07-29,0,128,0%,27.9
2025-07-30,0,183,0%,31.4
2025-07-31,0,142,0%,28.3
2025-08-01,0,117,0%,24.6
2025-08-02,0,123,0%,24
2025-08-03,0,124,0%,23.2
2025-08-04,0,113,0%,22.5
2025-08-05,0,94,0%,26.7
2025-08-06,0,111,0%,25.5
2025-08-07,0,114,0%,21.2
2025-08-08,0,112,0%,23.4
2025-08-09,0,113,0%,22.1
2025-08-10,0,85,0%,22.6
2025-08-11,0,77,0%,20.3
2025-08-12,0,97,0%,19.2
2025-08-13,0,83,0%,19.5
2025-08-14,0,105,0%,19.6
2025-08-15,0,89,0%,20.7
2025-08-16,0,98,0%,21.8
2025-08-17,0,92,0%,19
2025-08-18,0,106,0%,18
2025-08-19,0,100,0%,20.2
2025-08-20,0,99,0%,22.3
2025-08-21,0,97,0%,26.4
2025-08-22,0,103,0%,26
2025-08-23,0,98,0%,23.7
2025-08-24,0,99,0%,23.9
2025-08-25,0,92,0%,26.7
2025-08-26,0,95,0%,27.8
2025-08-27,0,93,0%,26.1
2025-08-28,0,133,0%,23
2025-08-29,0,88,0%,21.1
2025-08-30,0,173,0%,21
2025-08-31,0,99,0%,19.6
2025-09-01,0,95,0%,20.3
2025-09-02,0,92,0%,19
2025-09-03,0,115,0%,20.7
2025-09-04,0,117,0%,26.4
2025-09-05,0,119,0%,25.1
2025-09-06,0,119,0%,24.7
2025-09-07,0,142,0%,25
2025-09-08,0,123,0%,27.1
2025-09-09,0,115,0%,26.6
2025-09-10,0,114,0%,23.8
2025-09-11,0,93,0%,23
2025-09-12,0,88,0%,25.6
2025-09-13,0,45,0%,22.7
2025-09-14,0,57,0%,14.9
2025-09-15,0,61,0%,17.4
2025-09-16,0,28,0%,19.9
2025-09-17,0,52,0%,18.5
2025-09-18,0,51,0%,14.4
2025-09-19,0,40,0%,15.5
2025-09-20,0,37,0%,16.6
2025-09-21,0,35,0%,15.9
2025-09-22,0,55,0%,16.4
2025-09-23,0,45,0%,15.1
2025-09-24,0,50,0%,15.6
2025-09-25,0,58,0%,14.7
2025-09-26,0,59,0%,15.7
2025-09-27,0,78,0%,23.9
2025-09-28,0,81,0%,16.9
2025-09-29,0,201,0%,24.3
2025-09-30,0,58,0%,15.5
2025-10-01,0,54,0%,19.9
2025-10-02,0,57,0%,15.6
2025-10-03,0,56,0%,14.4
2025-10-04,0,58,0%,14.3
2025-10-05,0,58,0%,17
2025-10-06,0,79,0%,18.9
2025-10-07,0,73,0%,15.7
2025-10-08,0,52,0%,16.1
2025-10-09,0,60,0%,14.3
2025-10-10,0,52,0%,14.4
2025-10-11,0,55,0%,14.6
2025-10-12,0,47,0%,14.4
2025-10-13,0,56,0%,15.9
2025-10-14,0,50,0%,14
2025-10-15,0,58,0%,18.6
2025-10-16,0,77,0%,13.8
2025-10-17,0,64,0%,14.5
2025-10-18,0,68,0%,14.3
2025-10-19,0,58,0%,16.3
2025-10-20,0,76,0%,17.5
2025-10-21,0,58,0%,15.7
2025-10-22,0,55,0%,15
2025-10-23,0,57,0%,16.3
2025-10-24,0,54,0%,15.9
2025-10-25,0,25,0%,17
2025-10-26,0,48,0%,14.8
2025-10-27,0,66,0%,14.5
2025-10-28,0,42,0%,13.5
2025-10-29,0,46,0%,17.2
2025-10-30,0,257,0%,22.6
2025-10-31,0,78,0%,19
2025-11-01,0,79,0%,18.8
2025-11-02,0,88,0%,21.8
2025-11-03,0,73,0%,18.1
2025-11-04,0,84,0%,18
2025-11-05,0,86,0%,20.1
2025-11-06,0,86,0%,18.1
2025-11-07,0,49,0%,16.2
2025-11-08,1,56,1.79%,15.6
2025-11-09,0,44,0%,16.2
2025-11-10,0,38,0%,17.3
2025-11-11,0,46,0%,15.7
2025-11-12,0,67,0%,19.6
2025-11-13,0,58,0%,15.1
2025-11-14,0,47,0%,13.1
2025-11-15,0,50,0%,13.1
2025-11-16,0,52,0%,16.5
2025-11-17,0,53,0%,15.9
2025-11-18,0,46,0%,14.8
2025-11-19,0,57,0%,16.1
2025-11-20,0,53,0%,17.9
2025-11-21,0,46,0%,13.4
2025-11-22,0,46,0%,16
2025-11-23,0,37,0%,15.6
2025-11-24,0,39,0%,24.4
2025-11-25,0,41,0%,16.2
2025-11-26,0,40,0%,19.6
2025-11-27,0,48,0%,15.5
2025-11-28,0,43,0%,13.8
2025-11-29,0,173,0%,24.6
2025-11-30,0,38,0%,16.3
2025-12-01,0,45,0%,19.1
2025-12-02,0,44,0%,17.4
2025-12-03,0,48,0%,17.2
2025-12-04,0,55,0%,17.1
2025-12-05,0,44,0%,15.3
2025-12-06,0,54,0%,17.6
2025-12-07,0,44,0%,15.2
2025-12-08,0,68,0%,28.4
2025-12-09,0,41,0%,13.5
2025-12-10,0,50,0%,15.4
2025-12-11,0,50,0%,15.3
2025-12-12,0,48,0%,15.9
2025-12-13,0,50,0%,16
2025-12-14,0,49,0%,16
2025-12-15,0,58,0%,17.6
2025-12-16,0,54,0%,16.3
2025-12-17,0,55,0%,17.3
2025-12-18,0,56,0%,14.7
2025-12-19,0,52,0%,16.2
2025-12-20,0,62,0%,17.5
2025-12-21,0,51,0%,15.2
2025-12-22,0,54,0%,17.5
2025-12-23,0,45,0%,17.2
2025-12-24,0,48,0%,19.7
2025-12-25,0,45,0%,14.3
2025-12-26,0,40,0%,14.6
2025-12-27,0,48,0%,13.9
2025-12-28,0,39,0%,13.6
2025-12-29,0,53,0%,17.5
2025-12-30,0,182,0%,23.7
2025-12-31,0,48,0%,16.2
2026-01-01,0,75,0%,11.5
2026-01-02,0,39,0%,13.8
2026-01-03,0,45,0%,15
2026-01-04,0,46,0%,15.5
2026-01-05,0,43,0%,14
2026-01-06,0,54,0%,23.2
2026-01-07,0,49,0%,14.6
2026-01-08,0,58,0%,13.3
2026-01-09,0,57,0%,14.5
2026-01-10,0,46,0%,13.7
2026-01-11,0,50,0%,13
2026-01-12,0,63,0%,14.6
2026-01-13,0,45,0%,12.8
2026-01-14,0,42,0%,13.6
2026-01-15,0,60,0%,14.4
2026-01-16,0,42,0%,12.8
2026-01-17,0,47,0%,12.9
2026-01-18,0,40,0%,11.7
2026-01-19,0,44,0%,15.5
2026-01-20,0,33,0%,13.6
2026-01-21,0,32,0%,12.7
2026-01-22,0,41,0%,15.6
2026-01-23,0,40,0%,13.3
2026-01-24,0,46,0%,16.3
2026-01-25,0,55,0%,17.9
2026-01-26,0,59,0%,19.7
2026-01-27,0,40,0%,15.4
2026-01-28,0,45,0%,19
2026-01-29,0,41,0%,14.3
2026-01-30,0,206,0%,26.3
2026-01-31,0,41,0%,16.7
2026-02-01,0,56,0%,13.3
2026-02-02,0,41,0%,15.4
2026-02-03,0,39,0%,16.6
2026-02-04,0,59,0%,22.3
2026-02-05,0,55,0%,16.1
2026-02-06,0,46,0%,16.8
2026-02-07,0,48,0%,13.2
2026-02-08,0,70,0%,21.6
2026-02-09,0,48,0%,17.5
2026-02-10,0,45,0%,15.1
2026-02-11,0,51,0%,14.6
2026-02-12,0,64,0%,13.1
2026-02-13,0,58,0%,16.6
2026-02-14,0,64,0%,13.5
2026-02-15,0,50,0%,16
2026-02-16,0,57,0%,15.6
